Date,Outbound Post,Total Engagements (SUM),Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM),Post Reach (SUM),Estimated Clicks (SUM)
2025-01-08,"Join us for a day of fun activities at the lake on January 9th!
 Enjoy:
Miniature Golf
Fishing - (Lake is low on water)
Basketball
Horseshoe Pits
2.9-mile Walking Trail around the lake

Need bait or snacks? The Guest Services office will be open to assist you!

We can't wait to see you at the lake!",3,3,0,0,730,0
2025-01-08,Wake up and smell the coffee! ☕ Enjoy coffee makers & Black Rifle Coffee from your MCX today!,5,5,0,0,672,0
2025-01-08,"Help your kiddos start the new year off right by getting outside and being active, registration for the upcoming Spring Soccer, Basketball, and Cheer leagues opens on January 15th! For more info and to register visit our website!

cpyouthsports.leagueapps.com/ 

#CampPendleton #youthsports #semperfitcp #iamsemperfit #usmc",0,0,0,0,120,0
2025-01-08,"🚀 Unlock Your Creativity at Our Weekly 3D Printing Workshop! 🚀

Join us every Thursday (including tomorrow), at the Seaside Square Library for a hands-on 3D Printing Workshop! 🖨️✨

Whether you're a beginner or have some experience, this is a great opportunity to dive into the world of 3D design and printing.

Bring your creativity and ideas! We'll provide all the materials and guidance you need to bring your designs to life. Don’t miss this chance to learn something new and meet fellow enthusiasts!

See you there! 😄",2,2,0,0,256,0
2025-01-08,"Help your kiddos start the new year off right by getting outside and being active, registration for the upcoming Spring Soccer, Basketball, and Cheer leagues opens on January 15th! For more info and to register visit our website!

cpyouthsports.leagueapps.com/ 

#CampPendleton #youthsports #semperfitcp #iamsemperfit #usmc",0,0,0,0,168,0
2025-01-08,"Would you trust your pilot? It is a risk to take. 
Join us at the Sunset Cinema and watch the FREE Advance Screening of FLIGHT RISK to feel the adrenaline. 

For our movie schedule, check out our website:  https://www.navymwr.org/programs/motion-pictures/theaters?id=ca14ee35-a359-4819-a279-3f5c9e82f98a",1,1,0,0,155,0
2025-01-08,It's not to late to do Dry January.,0,0,0,0,23,0
2025-01-08,"MCB Camp Pendleton, CA is looking to fill the SUBSTANCE ASSESSMENT COUNSELING CENTER SUPERVISOR NF4 position!

This position will serve as a CLINICAL SUPERVISOR SACC NF4. This is an Interdisciplinary Position in that various specialties in the social and behavioral sciences can provide the necessary background to successfully perform the aspects of the job. The exact series of the position will be determined by the background and area of qualification of the employee selected for the position. Independently oversees professional counseling staff and the day-to-day operations of an ongoing substance misuse focused non-medical counseling program designed to prevent and provide non-medical counseling and supportive services for alcohol and drug misuse related problems of active-duty military and their eligible family members, as space permits. Work is reviewed for overall program effectiveness.

To learn more about the position and minimum qualifications, please visit https://lnkd.in/ehr5X92 

Job ID: 71431 https://lnkd.in/ebrXVJZZ


#MCCS #itmatterswhereyouwork #nowhiring #marineandfamily 
#marineandfamilyprograms #MarineCorpsCommunityServices #counselor #psyschologist #
",6,3,0,3,367,0
2025-01-08,"Join MCRD EFMP Family Care Worker and Marine Corps School Liaison Program for Coffee and Connections on January 14 from 0830 -1130.

#mcrd #mcrdsandiego #coffeeandconnections",3,3,0,0,2815,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,"Did you know we have a DEXA Scan available at Paige Field House? And that it’s FREE for base patrons to utilize? 🤯 

This service can cost hundreds of dollars at outside medical or training centers, so it’s definitely one to take advantage of!  Low level X-rays measure the density & mineral content of your bones and translate that into graphs and imagery that can be read by professionals like our MCCS dietician, Selina! 😉🩻

Come on in or email penhumanperformance@usmc-mccs.org to get started! For even MORE info, check out our upcoming Nutrition 101 class on Jan 15 at 11am. 🥕",348,216,7,125,4848,0
2025-01-08,"Did you know we have a DEXA Scan available at Paige Field House? And that it’s FREE for base patrons to utilize? 🤯 This service can cost hundreds of dollars at outside medical or training centers, so it’s definitely one to take advantage of!  Low level X-rays measure the density & mineral content of your bones and translate that into graphs and imagery that can be read by professionals like our MCCS dietician, Selina! 😉🩻Come on in or email penhumanperformance@usmc-mccs.org to get started!",5,4,1,0,222,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,2,2,0,0,1106,0
2025-01-08,This message has no text.,2,2,0,0,490,0
2025-01-08,Get your daily dose of vitamin savings! ✨ NatureMade vitamins BOGO 50% off at your MCX—now that’s a deal worth supplementing! 💊,3,3,0,0,431,0
2025-01-08,"Sacred Art Tattoo TRADFEST 2025 🔥

Get ready for a weekend full of bold lines, bright colors, and timeless designs!

January 17-18-19 at Sacred Art Kailua

Featuring hand-drawn traditional flash by our talented artists. Specials on classic American traditional designs PLUS exclusive flash you won't see anywhere else.

Appointments and walk-ins welcome!
 
(808) 600-3880
www.sacredartkailua.com

Paid advertisement. No DoD or USMC endorsement intended.",0,0,0,0,609,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,This message has no text.,0,0,0,0,102,0
2025-01-08,"There is a Southern California Edison power outage currently happening that is affecting MCAGCC and MCCS. If you have any questions if a facility or event is open/happening, please visit our website at https://29palms.usmc-mccs.org for contact information. We apologize for the inconvenience.",16,11,2,3,1867,0
2025-01-08,This message has no text.,25,18,4,3,1068,0
2025-01-08,"🚨 RED FLAG WARNING – Southern California 🚨
⚠️ When: Wednesday to Thursday
⚠️ Where: Greater Los Angeles County, San Gabriel and San Fernando Valleys, San Diego & Riverside Mountains, Eastern San Diego Valleys, Inland Orange County, Santa Ana Mountains, Inland Empire and San Bernardino Foothills
🔥 Conditions: Strong Santa Ana winds, low humidity, and critically dry fuels.
⚠️ High Risk: Extreme fire danger—any spark could lead to fast, uncontrollable wildfire spread.
Stay vigilant, avoid activities that could spark fires, and have an evacuation plan ready. 🌬️🔥
#RedFlagWarning #FireWeather #SantaAnaWinds",17,12,1,4,1225,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,"There's still time to register for L.I.N.K.S. Foundations on Jan 10! It's the key to navigating the military lifestyle and new duty stations easier.
https://29palms.usmc-mccs.org/activity/abc03f9c-c2c5-47fb-afa7-b7548c4d0719",0,0,0,0,330,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,This message has no text.,0,0,0,0,0,0
2025-01-08,"Come in your comfiest pajamas and join us for some food and fun—including breakfast for dinner! 🥞 Pancakes and Pajamas Family Fun Night will include a pancake station, hot chocolate bar, movie marathon and more! Tickets are $12.95 for adults, $6.95 for children (5-11) and FREE for children under 5. 

🗓️ Thursday, January 16 
⏰ 5–9 p.m.
📍 Camp Foster, Ocean Breeze",10,8,0,2,2437,0
2025-01-08,"TAILS & TRAILS Feb. 8th 2025!!! Join us at Lake O’Neill for a fun out and back walk along the Lake. The event includes a dog agility course, doggie hydration stations, and grab ‘n go goody bags. The walk provides an event that promotes fitness, a healthy lifestyle, and pet responsibility. 
This FREE event is for Active Duty, MIL Retiree, and Base Patron families only!
link above for details!!!",0,0,0,0,165,0
2025-01-08,"No STEAM Thursday today at the Foster Library, but make sure to join us next week, where we'll be making Rubber Band Catapults! 
😁 See you then!",0,0,0,0,315,0
2025-01-08,"Experience the thrill of traditional Okinawan bullfighting! 🐂🔥　

Witness the power and agility of these magnificent animals as they compete in a spectacle of strength and skill.

Date: February 9th (Sunday)
Time: 11:30 AM - 5:00 PM
Price: Adult (Male): $42, (Female): $35, 
Child (12-17): $26, (5-11): $10, (4 & under) Free.

Limited spots available! Book your enchanting evening now.✨
For more information and sigh up: 
📞098-971-3502
🌐 Event Brite Website 

https://www.eventbrite.com/e/mccs-okinawa-tours-bullfighting-tour-2025-tickets-1116265794039?aff=ebdssbdestsearch",3,2,0,1,783,0
2025-01-08,"🐋 Whale Watching Adventures Await! 

Experience the magic of whale watching in the crystal-clear waters of the East China Sea.🛥️✨

Witness the awe-inspiring power of these magnificent creatures as they breach the surface.

Enjoy breathtaking ocean views and the refreshing sea breeze. 🌊

Book your unforgettable adventure today!🐳🩵

🗓️Date: February 2nd (Sunday), 22nd (Saturday), and 23rd (Sunday).
⏰Time: 8:00 AM - 1:00 PM
🎟️Adult: $58   Child (3-11): $45

*Children aged 2 and under are not allowed

Limited spots available! Book your enchanting evening now.✨
For more information and sigh up: 
📞098-971-3502
🌐Event Brite Website 
https://www.eventbrite.com/e/mccs-okinawa-tours-whale-watching-tour-2025-tickets-1117435843689?aff=ebdssbdestsearch",8,7,0,1,1073,0
2025-01-08,"🚨 CLOSURE ALERT! 🚨 

👇 Please see the link below for a full list of our facilities and their hours on Jan 9, a National Day of Mourning. Major facilities closed will include:

All CDCs 
Station Library
Information, Tickets, & Travel (ITT)
Sunset Cinema & Sunset Lanes

Facilities will resume normal hours on Friday, Jan 10. Thank you for your patience.",19,15,1,3,1522,0
2025-01-08,"🚨 CLOSURE ALERT! 🚨 

👇 Please see the link below for a full list of our facilities and their hours on Jan 9, a National Day of Mourning. Major facilities closed will include:

CDC & School Age Care
Information, Tickets, & Travel (ITT)
Active Duty Rec Center

Facilities will resume normal hours on Friday, Jan 10. Thank you for your patience.

",0,0,0,0,52,0
2025-01-08,"Take a trip back in time. GLADIATOR II and BONHOEFFER: PASTOR. SPY. ASSASSIN. are playing Thursday, 9 January at Sunset Cinema. ⚔📜

Showing for FREE: Kung Fu Panda 4! 🐼🎍

For our movie schedule, check out our website: https://www.navymwr.org/programs/motion-pictures/theaters?id=ca14ee35-a359-4819-a279-3f5c9e82f98a",1,1,0,0,773,0
2025-01-08,This message has no text.,0,0,0,0,258,0
2025-01-08,This message has no text.,0,0,0,0,258,0
2025-01-08,This message has no text.,0,0,0,0,258,0
2025-01-08,"January is National Mentoring Month! For Marines and their families, mentorship plays a vital role in fostering resilience and readiness across various aspects of life, including social, spiritual, mental, and physical fitness.",3,3,0,0,846,0
2025-01-08,"Check out our new magnets and little gifts!

Stop by and check ‘em out!",7,7,0,0,390,0
2025-01-08,This message has no text.,2,2,0,0,195,0
2025-01-08,This message has no text.,1,1,0,0,195,0
2025-01-08,"See you this weekend, here are your tee times.",8,5,0,3,675,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,0,0,0,0,113,0
2025-01-08,This message has no text.,1,1,0,0,1106,0
2025-01-09,"Looking for a great spot to eat while aboard the Depot? Check out these delicious options:

🥪 Subway: Grab a fresh sandwich!
🍕 MCX Food Court: Enjoy a tasty slice of pizza!
🌊 Traditions: Buffet lunch with a view!
🥪 Sand Trap Grill: Savor a delicious club sandwich!
🍗 Brig & Brew: Dive into some mouth-watering wings!

This is just a small taste of what each spot offers! Check out our menus by downloading our PI Family Day App here: https://mccs-info.com/3LyxcvQ",4,3,0,1,2528,0
2025-01-09,"In the heat of adult conversations, it’s easy to let emotions take the lead. But asking for a “timeout” can be a powerful tool! 🧘 Stepping away to calm down provides the opportunity to approach the situation with clarity, kindness, and respect.",1,1,0,0,48,3
2025-01-09,"Next time you feel overwhelmed in a discussion, take a timeout—your mind and relationships will thank you. 🧘 Full article available at the 🔗 in bio.",3,3,0,0,65,0
2025-01-09,"Next time you feel overwhelmed in a discussion, take a timeout—your mind and relationships will thank you. 🧘 ",0,0,0,0,936,5
2025-01-09,"👔 Getting out soon? Want to prepare for a civilian career?

📚 Explore the resources available in the Marine for Life Network (M4LN) for opportunities like volunteering, virtual & in-person networking, and education programs that will prepare you for the next step of your journey.

Learn more at the links below! 👇",19,15,2,2,3982,0
2025-01-09,"In the heat of adult conversations, it’s easy to let emotions take the lead. But asking for a “timeout” can be a powerful tool! 🧘 Stepping away to calm down provides the opportunity to approach the situation with clarity, kindness, and respect.",1,1,0,0,238,5
2025-01-09,"From Classic to New, There’s a Game for You! Bring the whole family and join the fun because Family Game Night is second to none!
Starting next Thursday!

Play card games
Dive into board games
Enjoy giant games
Open to all Authorized Patrons.

Don't miss out on the laughter and friendly competition! 👾",6,4,1,1,349,0
2025-01-09,"From Classic to New, There’s a Game for You! Bring the whole family and join the fun because Family Game Night is second to none!
Starting next Thursday!

Play card games
Dive into board games
Enjoy giant games
Open to all Authorized Patrons.

Don't miss out on the laughter and friendly competition! 👾 ",1,0,0,1,62,0
2025-01-09,"New to MCRD San Diego? Join us on Tuesday, January 14th at the CG’s Welcome Aboard at Building 14 (across from the Fitness Center) at
0830. Our presentations will provide informative overviews of the various service programs, recreational opportunities, and other programs available aboard the Depot. Breakfast and lunch provided.

#mcrd #mcrdsandiego #marines #welcomeaboard",34,32,0,2,2231,0
2025-01-09,Build Your Own Yogurt Bowls! Pile on your favorite toppings and enjoy—while supplies last. Open to single Marines and Sailors only.,0,0,0,0,299,0
2025-01-09,Build Your Own Yogurt Bowls! Pile on your favorite toppings and enjoy—while supplies last. Open to single Marines and Sailors only.,3,3,0,0,48,0
2025-01-09,"Will you start the year off lucky? Progressive Bingo is back for 2025 with a jackpot of $3700. Will we see you on January 14? 
https://iwakuni.usmc-mccs.org/progressive-bingo
#clubiwakuni",0,0,0,0,92,0
2025-01-09,"🌱 We're growing!

Beginning January 2025, the Child Development Center will be opening additional classrooms to meet the needs of our Active Duty Marines and their families. 🌼 

That means more childcare available for your kiddos, and more peace of mind for YOU! Questions? Comment below or call (928) 269-3251/3234. 📲",27,22,1,4,1044,0
2025-01-09,"🌱 We're growing!

Beginning January 2025, the Child Development Center will be opening additional classrooms to meet the needs of our Active Duty Marines and their families. 🌼 

That means more childcare available for your kiddos, and more peace of mind for YOU! Questions? Comment below or call (928) 269-3251/3234. 📲 ",3,3,0,0,183,0
2025-01-09,BEE Creative on Jan 14 (and every 2nd Tue of the month): Let your imagination fly and create beautiful works of art with the Exceptional Family Member Program. http://ms.spr.ly/6187oLBS5,2,0,0,2,393,5
2025-01-09,"🛩️ Join us this Saturday at 6 PM for the Advance Screening of Flight RIsk (R). 🎬 Admission is free, with doors opening at 5 PM.

THIS FILM IS RATED R: Under 17 requires an accompanying parent or adult guardian. 

Check out the link below for more information. 
https://iwakuni.usmc-mccs.org/flight-risk-advanced-screening
#sakuratheater #flightrisk
---
Y'all need a pilot? A pilot transports an Air Marshal accompanying a fugitive to trial. As they go across the Alaskan wilderness, tensions soar and trust is tested as not everyone on board is who they seem.

*No copyright infringement intended",12,10,1,1,987,0
2025-01-09,"Get your kids active this spring with our youth baseball and running programs! We've got the perfect opportunity for them to learn, grow, and have fun. Registration opens Jan. 14. Learn more at http://ms.spr.ly/6188oLNTk.

MCCS Lejeune-New River Youth Sports is sponsored by Blue Cross Blue Shield Federal Employee Program. MCCS Sponsor. No federal or DoD endorsement implied.",22,16,3,3,3255,200
2025-01-09,"Ring in the new year with a good book. Participate in the Library’s Winter Reading Program. ❄️
Read and get a chance to win prizes. All prizes must be picked up by February 10.

This program is available until January 31.
 https://iwakuni.usmc-mccs.org/winter-reading-program
#libraryiwakuni",1,1,0,0,189,0
2025-01-09,"Register by Fri, Jan 10 for Family Readiness Binder Making Night and start the new year off with your being ready for any emergency! Learn more and sign up here: http://ms.spr.ly/6185oFZYz",2,1,0,1,544,8
2025-01-09,"📚 You + the library = FUN! SAVE or screenshot this post to keep track of all our upcoming events:

🎨 Art Lab (Jan 11) - Children ages 6-9 can tackle clay creations and fossil making 
🐲 D&D Adventure Club (Jan 25) - Check out this tabletop role-playing game, perfect for kids 8-12+ to practice imagination & collaboration
🕯️ Late Night at the Library (Jan 17) - A time for teens & tweens to hang out, try resist painting, and create a wax masterpiece!
❤️ Hearts & Art: Paint & Sip Mocktail Night (Feb 7) - Designed for adults to enjoy a creative and relaxing evening 

Registration for these events is REQUIRED, so be sure to stop by the library or call (928)-269-2765 for more info.",10,9,0,1,1251,0
2025-01-09,"Behavioral Health Branch facilities aboard MCAS Beaufort and MCRD Parris Island will be CLOSED on Thursday, January 9th in honor of the late former President Jimmy Carter. The Family Advocacy Program, Substance Assessment and Counseling Program, New Parent Support Program and Community Counseling Program will resume their regular business hours on Friday, January 10th. 

A Victim Advocate can be reached 24/7 by calling (843)592-0646.

#NationalDayOfMourning #POTUS39",0,0,0,0,37,0
2025-01-09,This message has no text.,0,0,0,0,0,0
2025-01-09,This message has no text.,0,0,0,0,1085,0
2025-01-09,This message has no text.,0,0,0,0,1085,0
2025-01-09,This message has no text.,0,0,0,0,1085,0
2025-01-09,This message has no text.,0,0,0,0,150,0
2025-01-09,This message has no text.,0,0,0,0,150,0
2025-01-09,This message has no text.,0,0,0,0,0,0
2025-01-09,"🚤🎣 Family Fun on the Water – Rent a Motorboat Today! 🎣🚤

Looking for a fun and relaxing way to spend time with your friends or loved ones? We've got you covered! 🌞

Our motorboats are available for rent, making it the perfect opportunity for you and your friends/children to enjoy fishing together. 🐟💦 Whether you're a seasoned angler or a beginner, it’s the perfect way to create unforgettable memories while casting your lines into the water. 🌊👨‍👩‍👧‍👦

👉 Don't miss out on the chance to enjoy quality time outdoors! Contact us to reserve your motorboat today! 🌟

#familytime #fun #fishingwithkids #motorboat #fishingadventure #delmarmarina #outdoorfun #fishingislife #bostonwhaler",3,3,0,0,185,0
2025-01-09,"Train harder, look better! 💁🏽‍♀️💁🏼‍♀️ Shop women's athletic wear today and power your workouts with confidence. Available at your favorite MCX! 🛒🛍",7,7,0,0,600,0
2025-01-09,📢 MCX Event Announcement: Visit your Camp Wilson Marine Mart for ITX today & tomorrow and save big on featured tactical brands at any Twentynine Palms MCX location! Don't wait - this sale is 2 days only! 🛒,6,5,0,1,479,0
2025-01-09,Wow!!! Who is ready for a camping trip?! 🏕️,0,0,0,0,61,0
2025-01-09,"🔥 Ready to level up your fitness game? 🔥 Join us for the Nutrition & Fitness for Body Composition Program on Jan 29! Learn how to fuel your body like a machine and crush those performance goals 💪.
📅 Mark your calendars and tag a buddy who should join!
👉 For more information, please go to MCCScp.com/human-performance to learn more.
 #CampPendleton #humanperformance #semperfitcp #iamsemperfit #usmc",0,0,0,0,94,0
2025-01-09,"📚✨ Calling All Little Bookworms! ✨📚

It’s time for Storytime at the Seaside Square Library! 🎉

🗓 When: Friday, January 10th, 2025
⏰ Time: 9:30 AM
📍 Where: Seaside Square Library

💫 Storytime Fun – Cozy up for stories, songs, and playtime, perfect for little ones! 🐻📖
👶 Baby Stay and Play – Stick around after Storytime for our Baby Stay and Play, where babies and toddlers can explore, play, and make new friends! 🧸💕

Join us for a morning of giggles, fun, and new memories—see you there! 🌟",2,2,0,0,185,0
2025-01-09,"🔥 Ready to level up your fitness game? 🔥 Join us for the Nutrition & Fitness for Body Composition Program on Jan 29! Learn how to fuel your body like a machine and crush those performance goals 💪.
📅 Mark your calendars and tag a buddy who should join!
👉 For more information, please go to MCCScp.com/human-performance to learn more.
 #CampPendleton #humanperformance #semperfitcp #iamsemperfit #usmc",14,14,0,0,392,0
2025-01-09,We're still holding out for the Scooby Doo crossover....,3,3,0,0,51,0
2025-01-09,"**AFE PRO BLITZ GOLF TOURNAMENT FEATURING NFL HALL OF FAMERS!**

🏌️‍♂️🏈 It's time to tee up for the ultimate gridiron golf showdown! 🏆 Join NFL Hall of Famers and NFL Cheerleaders at the Pro Blitz Golf Tournament on Friday, January 31, at the Kaneohe Klipper Golf Course. 🌴✨

🌟 Featuring NFL legends James Lofton, Tim Brown, Richard Dent, Leroy Butler, Marshall Faulk, Steve Atwater, Jimbo Covert, and Orlando Pace, alongside cheerleaders from the Atlanta Falcons, Cincinnati Bengals, Indianapolis Colts, Philadelphia Eagles, Seattle Seahawks, and Tennessee Titans! 🎉

🔥 All ranks welcome! Assemble your fantasy four-person team and swing into action!
📍 Check-in: 1100
📍 Shotgun start: 1200

⛳ Don’t fumble this chance – register by Tuesday, January 28! Call (808) 254-2107 for details. Let’s hit the fairway and score big! 🏈⛳

Subject to change. No DoD or USMC endorsement intended.

#problitz2025 #problitz #nfl #golftournament #armedforcesentertainment #afe #protourproductions #klippergolfcourse #mccshawaii #mcbhawaii #mcbh",6,2,3,1,579,0
2025-01-09,Don’t snooze on this deal! Sealy & Allerase pillows and bedding are 20% off! Shop now at your MCX! 💤,3,3,0,0,350,0
2025-01-09,"Have you picked up Fourth Wing, the award-winning book by former military spouse Rebecca Yarros yet? If not, this is the perfect time to do so. Join fellow readers at the Foster Library for the Fourth Wing Book Club & Trivia Night on Saturday, January 18. 

➡️ For more information, visit https://www.okinawa.usmc-mccs.org/activity/6b58a7d4-0255-43c7-ae8b-c69f7aa3d286.",22,17,4,1,2210,0
2025-01-09,"**COMEDY AT THE ROCKER ROOM TONIGHT!**

🎤 Get Ready to Laugh Out Loud! 🎭

Armed Forces Entertainment and AmericanForcesTravel present BEST MEDICINE BRIGADE – a night of side-splitting comedy you won't want to miss!

📍 Location: The Rocker Room at Kaneohe Bay 
📅 Date: Thursday, January 9, 2025
⏰ Doors Open: 1630 | Show Begins: 1900
👶 Must be 21 years and older.
🙌 FREE ADMISSION!

🎟️ Seating is Limited – First Come, First Served!
Open to SNCOs, Officers, and their invited guests.

Featuring performances by:
🎙️ Tom Cotter – The first-ever finalist on America’s Got Talent and a veteran of The Tonight Show, Last Comic Standing, and Comedy Central!
🎙️ Kerri Louise – As seen on Dr. Oz, Last Comic Standing, Comedy Central, and Dry Bar!
🎙️ Robin Phoenix Johnson – VET TV alum with sharp wit and engaging storytelling!
🎙️ Doug Bennett – Marine Corps veteran and seasoned comedian!

Bring your friends and get ready for a night of laughs that’ll leave you in stitches! 😂

#bestmedicinebrigade #armedforcesentertainment #afe #americanforcestravel #militarycomedy #sncoclub #mccshawaii #mcbhawaii #mcbh",5,0,0,5,724,0
2025-01-09,"Would you trust your pilot? It is a risk to take. 
Join us at the Sunset Cinema and watch the FREE Advance Screening of FLIGHT RISK to feel the adrenaline. 

For our movie schedule, check out our website:  https://www.navymwr.org/programs/motion-pictures/theaters?id=ca14ee35-a359-4819-a279-3f5c9e82f98",5,2,1,2,747,0
2025-01-09,This message has no text.,4,2,0,2,558,0
2025-01-09,"Ready to find your fit? 💪 Join us at Fit Fest: Explore Your Fit and discover your favorite activities to improve your health, including cycling, cardio, strength training and yoga! 

🗓️ January 18 | ⏰ 9–11 a.m. 
 📍Camp Foster Gunners Fitness Center 

🗓️ January 25 | ⏰ 9–11 a.m. 
 📍 Camp Courtney Ironworks Fitness Center

For more information and other upcoming events, visit https://www.okinawa.usmc-mccs.org/recreation-fitness/fitness/health-promotion/health-promotion-events.",3,3,0,0,1119,0
2025-01-09,"📢 URGENT REMINDER TO OUR COMMUNITY: PVSA Submission Deadline is THIS SUNDAY!

This is a friendly reminder that the Presidential Volunteer Service Award (PVSA) submission deadline is this Sunday, January 12, 2025. Please ensure all required documentation is submitted on time, as late submissions cannot be accepted.

Submission Options:
 • Email: VolunteerNow@okinawa.usmc-mccs.org
 • Drop-off Locations:
 • Camp Foster Marine Corps Family Team Building Office, Bldg. 445
 • Local Single Marine Program Office

Additionally, nominations for the Volunteer Service Award (VSA) are now open. Units may nominate up to two individuals for this prestigious recognition. The nomination deadline is January 31, 2025.

For questions or assistance, please contact:
Phone: 098-970-3749 / 645-3749
Email: VolunteerNow@okinawa.usmc-mccs.org

Thank you for your support in recognizing the outstanding volunteers in our community. Let’s celebrate their incredible contributions together!",0,0,0,0,331,0
2025-01-09,https://m.facebook.com/story.php?story_fbid=1018618093633088&id=100064547209793&mibextid=wwXIfr,5,2,0,3,280,0
2025-01-09,We hope you will join us tomorrow at 3:30pm for our first Tween Toolbox! Each week tweens will learn a different skill. Tomorrow is CPR! Open to ages 10-13; must have base access to attend.,22,17,3,2,378,0
2025-01-09,"Got a hidden talent? Whether you’re a juggling pro or a musical maestro, it’s your time to shine! Join us at the New Year, New Talent event on January 17 at BeachHead, Camp Schwab. Practice hour begins at 5 p.m.  

Registration ends January 16. If audio or visual props are required, please let us know in advance. Complimentary finger foods and beverages will be provided.  

➡️ For more information, visit https://www.okinawa.usmc-mccs.org/about/camp-schwab/dining/beachhead?fbclid=IwY2xjawHZtcpleHRuA2FlbQIxMAABHXl_rur9Mp0J-TmqVCetRoDPkVrpJ_vXpNw2b1XXgRD2NAr0TT7aTNPFlA_aem_jZAYxCVXDQljShoidmTnXw.",4,4,0,0,1054,0
2025-01-09,🚨 Big news for anime and manga fans! 🚨 Crunchyroll has just announced a brand new service – Crunchyroll Manga – launching this year! 📚✨ Get ready for access to top publishers and a mix of iconic titles alongside fan favorites! This is going to be huge for manga lovers! 🙌 Who’s excited?!,5,3,1,1,84,0
2025-01-10,"Interested in having dinner with your new Marine's Drill Instructors? Want to find out all the fun stories from recruit training straight from the source? Make your reservation at https://mccs-sc.ticketspice.com/command-dinner

Details:
📍 Lyceum - 18 Tripoli Street
🕓 Command Reception : 4:00 PM - 4:30 PM
🕓 Family Day Command Dinner: 4:30 PM - 6:30 PM",13,13,0,0,3314,0
2025-01-10,Download the Parris Island Family Day App before you arrive! https://mccs-info.com/3LyxcvQ,5,3,0,2,2693,0
2025-01-10,"Are you looking for a comfortable and relaxing hotel while you're visiting Parris Island? What are you waiting for?! Call the Inns of the Corps OR Irby's Inn and book your room today!

For helpful travel information visit https://southcarolina.usmc-mccs.org/recruit-families/travel-accommodations",14,13,1,0,4250,0
2025-01-10,"Life can get busy, and sometimes a quick text, call, or coffee break can mean the world. Let’s make checking in as routine as checking our social media! 📱 Read the full article— 🔗 in bio! ",7,7,0,0,86,0
2025-01-10,"Life can get busy, and sometimes a quick text, call, or coffee break can mean the world. 📱 ",1,0,0,1,1244,5
2025-01-10,"👇 MCRD San Diego spouses, next Friday, January 17th from 9-11 AM — come join the company of other like-minded spouses while creating fun vision boards for your 2025 goals and New Years’ Resolution! ☕️🎨 Sip coffee, chat, and create! Children are welcome to attend. 

For more info and to register: 
🔗 MCFTB.eventbrite.com

MCCS MCRD San Diego/ WRR - Marine & Family

#mcrd #mcrdsandiego #militaryspouse #visionboards #milspouse",4,4,0,0,1591,0
2025-01-10,"🌙 We're just 2 weeks out from our first race of 2025 - the Zero Dark Dirty!

🌲 This 6K (3.7 mile) obstacle-trail run hybrid will take place at Lake O'Neill on Jan 24 at 6pm. Headlamps (not phone flashlights) are REQUIRED and can be purchased with your registration. 🔦 

💸 FEES
Active Duty: $15
Dependents / Retirees: $35
General Public: $45 

Visit the link below to register! 🔗 👇",27,20,6,1,3032,0
2025-01-10,"On February 17, join us for an unforgettable journey to Saijo City, famed for its exceptional sake breweries! 🍶 Our English-speaking local guide will take us through one of the most renowned breweries. Learn about the traditional brewing process and enjoy tasting some of the finest sakes. This is a perfect opportunity for both sake enthusiasts and cultural explorers.

Please sign up for this trip in person at the IT&T office. 
https://iwakuni.usmc-mccs.org/saijo-sake-brewery-tour
#ittiwakuni",1,1,0,0,143,0
2025-01-10,"We asked Captain Riley E. Tejcek, United States Marine Corps 🦅 🌎 ⚓ & member of the U.S Women’s Olympic Bobsled team. 

What does the Marine Corps’ 250th Birthday mean to you?

""Pure excellence. 250 years is a massive milestone as the Marine Corps has shown resiliency in every clime and place as we have continued to keep our country safe in every battle we have engaged in. Over the past 250 years we have seen so much growth and adaptation. I am thankful for the Marines who paved the road 250 years ago and am honored to be apart of the BEST warfighting organization as I get to see it to 250 years.""

Read more of her story and join the 250th Celebration 🎊 🦅 at https://www.mymcx.com/usmc-250th-anniversary

#marines #usabobsledding #marinecorpsbirthday #MCX #USMC250th #ItMattersWhereYouWork 

",0,0,0,0,0,0
